,Course,Description,Image,Instructor,Link,Price,Provider,Subject
0,Analyzing categorical data,"This unit covers methods for dealing with data that falls into categories. Learn how to use bar graphs, Venn diagrams, and two-way tables to see patterns and relationships in categorical data.",https://cdn.kastatic.org/genfiles/topic-icons/icons/arithmetic.png-af7472-128c.png,None,https://www.khanacademy.org/math/statistics-probability/analyzing-categorical-data,Free,Khan Academy,statistics probability
1,Displaying and comparing quantitative data,"This unit covers some basic methods for graphing distributions of quantitative data like dot plots, histograms, and stem and leaf plots. We'll also explore how to use those displays to compare the features of different distributions.",https://cdn.kastatic.org/genfiles/topic-icons/icons/data_management_probability.png-84fa5f-128c.png,None,https://www.khanacademy.org/math/statistics-probability/displaying-describing-data,Free,Khan Academy,statistics probability
2,Summarizing quantitative data,"This unit covers common measures of center like mean and median. We'll also learn to measure spread or variability with standard deviation and interquartile range, and use these ideas to determine what data can be considered an outlier.",https://cdn.kastatic.org/genfiles/topic-icons/icons/arithmetic.png-af7472-128c.png,None,https://www.khanacademy.org/math/statistics-probability/summarizing-quantitative-data,Free,Khan Academy,statistics probability
3,Modeling data distributions,"This unit takes our understanding of distributions to the next level. We'll measure the position of data within a distribution using percentiles and z-scores, we'll learn what happens when we transform data, we'll study how to model distributions with density curves, and we'll look at one of the most important families of distributions called Normal distributions.",https://cdn.kastatic.org/genfiles/topic-icons/icons/random_variables.png-9a60cf-128c.png,None,https://www.khanacademy.org/math/statistics-probability/modeling-distributions-of-data,Free,Khan Academy,statistics probability
4,Exploring bivariate numerical data,"We use scatter plots to explore the relationship between two quantitative variables, and we use regression to model the relationship and make predictions. This unit explores linear regression and how to assess the strength of linear models.",https://cdn.kastatic.org/genfiles/topic-icons/icons/regression.png-1116c0-128c.png,None,https://www.khanacademy.org/math/statistics-probability/describing-relationships-quantitative-data,Free,Khan Academy,statistics probability
5,Study design,"Statistics is all about forming questions and gathering data to explore those questions. This unit covers sampling and survey methods, observational studies, and basic experiment design.",https://cdn.kastatic.org/genfiles/topic-icons/icons/independent_dependent.png-c17e68-128c.png,None,https://www.khanacademy.org/math/statistics-probability/designing-studies,Free,Khan Academy,statistics probability
6,Probability,"Probability tells us how often some event will happen after many repeated trials. This topic covers theoretical, experimental, compound probability, permutations, combinations, and more!",https://cdn.kastatic.org/genfiles/topic-icons/icons/probability.png-0e7373-128c.png,None,https://www.khanacademy.org/math/statistics-probability/probability-library,Free,Khan Academy,statistics probability
7,"Counting, permutations, and combinations","This unit covers methods for counting how many possible outcomes there are in various situations. We'll learn about factorial, permutations, and combinations. We'll also look at how to use these ideas to find probabilities.",https://cdn.kastatic.org/genfiles/topic-icons/icons/arithmetic.png-af7472-128c.png,None,https://www.khanacademy.org/math/statistics-probability/counting-permutations-and-combinations,Free,Khan Academy,statistics probability
8,Random variables,"Random variables can be any outcomes from some chance process, like how many heads will occur in a series of 20 flips. We calculate probabilities of random variables and calculate expected value for different types of random variables.",https://cdn.kastatic.org/genfiles/topic-icons/icons/sequences.png-cb8eda-128c.png,None,https://www.khanacademy.org/math/statistics-probability/random-variables-stats-library,Free,Khan Academy,statistics probability
9,Sampling distributions,A sampling distribution shows every possible result a statistic can take in every possible sample from a population and how often each result happens. This topic covers how sample proportions and sample means behave in repeated samples.,https://cdn.kastatic.org/genfiles/topic-icons/icons/random_variables.png-9a60cf-128c.png,None,https://www.khanacademy.org/math/statistics-probability/sampling-distributions-library,Free,Khan Academy,statistics probability
