,Course,Description,Image,Instructor,Link,Price,PrimaryCategory,PrimaryCategoryID,PrimarySubcategory,PrimarySubcategoryID,Rating
270,Investing In Stocks  The Complete Course! (11 Hour),"Master Investing in the Stock Market with Stocks, Mutual Funds, ETF, from a Top Instructor & Millionaire Stock Portfolio",https://udemy-images.udemy.com/course/125_H/964680_b329_4.jpg,"Steve Ballinger, MBA",/investing-in-stocks/,$199.99,Personal Development,296,Personal Finance,148,4.41
271,Character Art School: Complete Character Drawing,"The Best Way to Learn to Draw Professional Characters for Animation, Games, Comics, Manga and More.",https://udemy-images.udemy.com/course/125_H/1259404_72d4.jpg,Scott Harris,/character-art-school-complete-character-drawing/,$194.99,Design,269,Other,130,4.54
272,The Advanced Web Developer Bootcamp,"Learn React 16, Redux, D3, ES2015, Testing, CSS Flexbox, Animations, SVG, AJAX, and more!",https://udemy-images.udemy.com/course/125_H/1218586_9f86.jpg,Colt Steele,/the-advanced-web-developer-bootcamp/,$199.99,Development,288,Web Development,8,4.66
273,Complete Python 3 Masterclass Journey,Master Python 3! Use story based learning to go from a beginner to being able to create real programs with Python!,https://udemy-images.udemy.com/course/125_H/1337374_6ddf_2.jpg,Jose Portilla,/complete-python-3-masterclass-journey/,$199.99,Development,288,Programming Languages,12,4.69
274,Unsupervised Machine Learning Hidden Markov Models in Python,"HMMs for stock price analysis, language modeling, web analytics, biology, and PageRank.",https://udemy-images.udemy.com/course/125_H/872834_f01d.jpg,Lazy Programmer Inc.,/unsupervised-machine-learning-hidden-markov-models-in-python/,$119.99,Business,268,Data & Analytics,44,4.61
275,PMP Exam Prep Seminar -  PMBOK Guide 6 includes 35 PDUs,"PMP Exam Prep Seminar - Complete coverage of the PMBOK Guide, sixth edition for the PMP exam success",https://udemy-images.udemy.com/course/125_H/1361790_2eb7.jpg,Joseph Phillips,/pmp-pmbok6-35-pdus/,$199.99,Business,268,Project Management,38,4.6
276,Ultimate Photoshop Training: From Beginner to Pro,Master Photoshop without any previous knowledge with this easy-to-follow course,https://udemy-images.udemy.com/course/125_H/1046722_cbd7_2.jpg,Cristian Doru Barin,/ultimate-photoshop-training-from-beginner-to-pro/,$199.99,Design,269,Graphic Design,110,4.6
277,Web Development w/ Google’s Go (golang) Programming Language,Learn Web Programming from a University Professor in Computer Science with over 15 years of teaching experience.,https://udemy-images.udemy.com/course/125_H/1002030_f3e0_5.jpg,Todd McLeod,/go-programming-language/,$64.99,Development,288,Web Development,8,4.69
278,"Git Complete: The definitive, step-by-step guide to Git",Go from zero to hero with Git source control step-by-step with easy to understand examples. Become the next Git expert!,https://udemy-images.udemy.com/course/125_H/221674_1411_4.jpg,Jason Taylor,/git-complete/,$199.99,Development,288,Development Tools,362,4.44
279,The Unreal Engine Developer Course - Learn C++ & Make Games,Learn C++ from scratch. How to make your first video game in Unreal engine. Gain confidence in programming.,https://udemy-images.udemy.com/course/125_H/657932_c7e0.jpg,Ben Tristem,/unrealcourse/,$194.99,Development,288,Game Development,14,4.68
280,SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,Learn Both SQL Server & PostgreSQL By Doing. Enhance Your Data Analytics Career With Real World Data Science Exercises,https://udemy-images.udemy.com/course/125_H/1036342_024e.jpg,Kirill Eremenko,/sqldatabases/,$199.99,Business,268,Data & Analytics,44,4.44
281,Cisco NEW CCNA R/S (200-125): The Complete Course,This NEW CISCO course is all you need to prepare & pass Cisco's new CCNA R/S 200-125 certification exam,https://udemy-images.udemy.com/course/125_H/948368_258f_3.jpg,Lazaro Diaz,/cisco-ccna-200-125-the-complete-course/,$194.99,IT & Software,294,IT Certification,132,4.49
282,70-534 70-535 Architecting Microsoft Azure Solutions,Get Azure certified as an architect in one of Microsoft's newest certifications on the hottest cloud platform Azure.,https://udemy-images.udemy.com/course/125_H/802578_5a24_7.jpg,Scott Duffy,/70534-azure/,$149.99,IT & Software,294,IT Certification,132,4.23
283,Build Websites from Scratch with HTML & CSS,Learn Web Development Essentials and Become a Web Developer From Scratch in this Complete HTML & CSS Beginner's Course,https://udemy-images.udemy.com/course/125_H/80940_2664_8.jpg,Brad Hussey,/build-website-scratch/,$144.99,Development,288,Web Development,8,4.63
284,Apache Spark with Java - Learn Spark from a Big Data Guru,Learn analyzing large data sets with Apache Spark by 10+ hands-on examples. Take your big data skills to the next level.,https://udemy-images.udemy.com/course/125_H/1328642_12dc_4.jpg,Tao W.,/apache-spark-course-with-java/,$199.99,Development,288,Development Tools,362,4.78
285,Living from the Inside Out,An invitation to live an impossibly wonderful life,https://udemy-images.udemy.com/course/125_H/1421014_67cd_3.jpg,Michael Neill,/living-from-the-inside-out/,$74.99,Personal Development,296,Personal Transformation,142,4.71
286,Animal Reiki Practitioner Certification,Learn how to use Reiki energy to help animals,https://udemy-images.udemy.com/course/125_H/790970_e1b1_2.jpg,Lisa Powers,/animal-reiki-certification/,$49.99,Personal Development,296,Personal Transformation,142,4.77
287,Mobile App Design In Sketch 3: UX and UI Design From Scratch,"Design Mobile Apps from scratch using Sketch 3. Master Sketch 3, UX methodology, icon design, and user interface design.",https://udemy-images.udemy.com/course/125_H/381850_d819_10.jpg,Rob Percival,/the-complete-design-course/,$29.99,Design,269,Design Tools,112,4.44
288,Certified Crystal Healing Practitioner Diploma Course,Connect with the Crystal Kingdom and learn everything you need to know to become a Crystal Healing Practitioner,https://udemy-images.udemy.com/course/125_H/1405438_4615_4.jpg,Tania Magdalene,/certified-crystal-healing-practitioner-diploma-course/,$164.99,Personal Development,296,Religion & Spirituality,158,4.74
289,The Complete Ethical Hacking Course: Beginner to Advanced!,"Learn how to do ethical hacking, penetration testing, web testing, and wifi hacking using kali linux!",https://udemy-images.udemy.com/course/125_H/437490_c76a_4.jpg,Ermin Kreponic,/penetration-testing/,$199.99,IT & Software,294,Network & Security,134,4.37
290,AngularJS JumpStart with Dan Wahlin,Building Web applications? Learn to build robust Single Page Applications (SPAs) with the popular AngularJS framework!,https://udemy-images.udemy.com/course/125_H/164554_a2dd_7.jpg,Dan Wahlin,/angularjs-jumpstart/,$74.99,Development,288,Web Development,8,4.63
291,Spring Framework Masterclass: Beginner to Professional,"Learn Spring with Core, MVC, JDBC, MySQL; Upcoming: Spring 5, Spring Boot 2, Thymeleaf, Security, Hibernate,  JPA & more",https://udemy-images.udemy.com/course/125_H/1132057_1266_4.jpg,Tim Buchalka,/java-spring-framework-masterclass/,$194.99,Development,288,Programming Languages,12,4.57
292,RPG Core Combat Creator - Unity 2017 Compatible In C#,"Build a Role Playing Game (RPG) in Unity 2017. Learn intermediate C#, code architecture, game & level design.",https://udemy-images.udemy.com/course/125_H/1110626_255b.jpg,Ben Tristem,/unityrpg/,$194.99,Development,288,Game Development,14,4.7
293,CAPM Exam Prep: Earn Your CAPM Certification,Qualify for the CAPM Certification Exam - 25 Contact Hours from a PMI Registered Education Provider #4082,https://udemy-images.udemy.com/course/125_H/1024854_94dc.jpg,Joseph Phillips,/capm-exam-prep-earn-your-capm-certification/,$199.99,Business,268,Project Management,38,4.65
294,Adobe Lightroom CC: Photo Editing Masterclass,Your complete guide to editing beautiful photos in Adobe Lightroom Classic CC!,https://udemy-images.udemy.com/course/125_H/926234_4a1a_2.jpg,Phil Ebiner,/adobe-lightroom/,$199.99,Photography,273,Photography Tools,198,4.47
